"Role"	"SourceRelativePath"	"RepositoryPath"	"SourceSHA256"	"TargetSHA256"	"Match"
"d-group"	"building-energy-shapes_D.ttl"	"inputs/d-group/v0.4/received/building-energy-shapes_D.ttl"	"a556039c0ec3030a9c4273c62a787e448b8869f7648e948663e10d3fe007cbda"	"a556039c0ec3030a9c4273c62a787e448b8869f7648e948663e10d3fe007cbda"	"True"
"d-group"	"初始TTL到最终TTL修改说明.md"	"inputs/d-group/v0.4/received/初始TTL到最终TTL修改说明.md"	"d95a98be50641dbf4c131818547756183bf795edc426668c7c43c00f934bc7b4"	"d95a98be50641dbf4c131818547756183bf795edc426668c7c43c00f934bc7b4"	"True"
"project-requirement"	"806.md"	"inputs/project/v0.4/806.md"	"0397a807a57c69e753969a4210c09af7683432c2623629b54b1df89bce8efd93"	"0397a807a57c69e753969a4210c09af7683432c2623629b54b1df89bce8efd93"	"True"
"source-archive"	"DSSC_C_Semantic_Governance_Reproducible_Package_2026-06-25.zip"	"inputs/source-archives/received/DSSC_C_Semantic_Governance_Reproducible_Package_2026-06-25.zip"	"44f21783e57966c145c19e4c6edd74405bc1ace8ae2f31fae3f4bb92805d1135"	"44f21783e57966c145c19e4c6edd74405bc1ace8ae2f31fae3f4bb92805d1135"	"True"
"source-archive"	"DSSC_Tool_Learning.zip"	"inputs/source-archives/received/DSSC_Tool_Learning.zip"	"ce13a59d3d3834bdc67d74616421ee9b19d262bfda8c4de69bfc7b5193012241"	"ce13a59d3d3834bdc67d74616421ee9b19d262bfda8c4de69bfc7b5193012241"	"True"
"v0-docs"	"v1_docs/dssc_c.md"	"archive/v0_docs/dssc_c.md"	"0b367f040af780c489e33e37a4a7aec904d8bf0bac046cd4ba1554b498dbd9e9"	"0b367f040af780c489e33e37a4a7aec904d8bf0bac046cd4ba1554b498dbd9e9"	"True"
"v0-docs"	"v1_docs/dssc_c_group_phase_00_09_full_process_zh.md"	"archive/v0_docs/dssc_c_group_phase_00_09_full_process_zh.md"	"6f5e9e3d3a43b46597982a3d30b20b00117a3fabeba1153210cbf161e9f0b867"	"6f5e9e3d3a43b46597982a3d30b20b00117a3fabeba1153210cbf161e9f0b867"	"True"
"v0-docs"	"v1_docs/phases/phase-00-repository-audit-and-project-scaffold.md"	"archive/v0_docs/phases/phase-00-repository-audit-and-project-scaffold.md"	"afc7641ac5525f80981bfdfe8f03b09267c7f612c70b3e718bdd16dbd2566c3a"	"afc7641ac5525f80981bfdfe8f03b09267c7f612c70b3e718bdd16dbd2566c3a"	"True"
"v0-docs"	"v1_docs/phases/phase-01-core-vocabulary-and-versioned-semantic-artifacts.md"	"archive/v0_docs/phases/phase-01-core-vocabulary-and-versioned-semantic-artifacts.md"	"5c71accc157c753d59ff1997e8ed40104fcfaffa1b57e6789c32af840c63a719"	"5c71accc157c753d59ff1997e8ed40104fcfaffa1b57e6789c32af840c63a719"	"True"
"v0-docs"	"v1_docs/phases/phase-01-models/model-v0.1-detailed-reading.md"	"archive/v0_docs/phases/phase-01-models/model-v0.1-detailed-reading.md"	"a9fc8fe8188df45ff3251ee6e1e94ede9ececace072dec9848528981f7cf347b"	"a9fc8fe8188df45ff3251ee6e1e94ede9ececace072dec9848528981f7cf347b"	"True"
"v0-docs"	"v1_docs/phases/phase-01-models/model-v0.1-four-files-overview.md"	"archive/v0_docs/phases/phase-01-models/model-v0.1-four-files-overview.md"	"2e100ee3d7b98362a7456153c698b6d70c0a994d9d9f6911eb3a6ef08762b1a3"	"2e100ee3d7b98362a7456153c698b6d70c0a994d9d9f6911eb3a6ef08762b1a3"	"True"
"v0-docs"	"v1_docs/phases/phase-01-models/model-v0.2-detailed-reading.md"	"archive/v0_docs/phases/phase-01-models/model-v0.2-detailed-reading.md"	"47a7c10c0dcc7908666e3fc8677dbaa54a29180613e648a1105bf3237980ec9c"	"47a7c10c0dcc7908666e3fc8677dbaa54a29180613e648a1105bf3237980ec9c"	"True"
"v0-docs"	"v1_docs/phases/phase-01-models/model-v0.2-five-files-overview.md"	"archive/v0_docs/phases/phase-01-models/model-v0.2-five-files-overview.md"	"653eb54101d3b4655f3b55050366847839c6e13d281b0b1741228fa01f1eb4b9"	"653eb54101d3b4655f3b55050366847839c6e13d281b0b1741228fa01f1eb4b9"	"True"
"v0-docs"	"v1_docs/phases/phase-01-models/model-v0.3-detailed-reading.md"	"archive/v0_docs/phases/phase-01-models/model-v0.3-detailed-reading.md"	"b7bd9625d33fe9f8c4407f2715f99adb97da9a6b8ae9d67c90f8da559bfc10ea"	"b7bd9625d33fe9f8c4407f2715f99adb97da9a6b8ae9d67c90f8da559bfc10ea"	"True"
"v0-docs"	"v1_docs/phases/phase-01-models/model-v0.3-ten-files-overview.md"	"archive/v0_docs/phases/phase-01-models/model-v0.3-ten-files-overview.md"	"9dd6ab1ce9e847e2f9b21470134091d0a419d595f0d3e451cb116e3d41ea5961"	"9dd6ab1ce9e847e2f9b21470134091d0a419d595f0d3e451cb116e3d41ea5961"	"True"
"v0-docs"	"v1_docs/phases/phase-02-validation-harness-scripts-and-dockerized-tooling.md"	"archive/v0_docs/phases/phase-02-validation-harness-scripts-and-dockerized-tooling.md"	"4362ff3bb07451eccc61bede876eeee4ec1df577d13e8d64b8a05f01d6263c45"	"4362ff3bb07451eccc61bede876eeee4ec1df577d13e8d64b8a05f01d6263c45"	"True"
"v0-docs"	"v1_docs/phases/phase-03-sparql-competency-questions-and-semantic-tests.md"	"archive/v0_docs/phases/phase-03-sparql-competency-questions-and-semantic-tests.md"	"897aba3c0bf8dea01da38e7c12b262f44462402b38a7fb904aa12f14333cdca6"	"897aba3c0bf8dea01da38e7c12b262f44462402b38a7fb904aa12f14333cdca6"	"True"
"v0-docs"	"v1_docs/phases/phase-04-sssom-mapping-and-reuse-metrics.md"	"archive/v0_docs/phases/phase-04-sssom-mapping-and-reuse-metrics.md"	"4a9fc469ea9f16c0a95ae8ea89f0378c4b2aedbb5da90f330883b269efcc370d"	"4a9fc469ea9f16c0a95ae8ea89f0378c4b2aedbb5da90f330883b269efcc370d"	"True"
"v0-docs"	"v1_docs/phases/phase-05-provenance-and-version-governance-metadata.md"	"archive/v0_docs/phases/phase-05-provenance-and-version-governance-metadata.md"	"c5def5f1189942fa7593c9ff825ce0def7f32d61740790004b631ca56bcd046d"	"c5def5f1189942fa7593c9ff825ce0def7f32d61740790004b631ca56bcd046d"	"True"
"v0-docs"	"v1_docs/phases/phase-06-semantic-treehouse-local-deployment-evidence-track.md"	"archive/v0_docs/phases/phase-06-semantic-treehouse-local-deployment-evidence-track.md"	"cb660b9b916fef4e7a14371b8cd4c36b160d6e91e042e772758f7545aa9dab4d"	"cb660b9b916fef4e7a14371b8cd4c36b160d6e91e042e772758f7545aa9dab4d"	"True"
