"RawEntry"	"NormalizedEntry"	"IsDirectory"	"UncompressedBytes"	"CompressedBytes"	"SafeRelativePath"
"DSSC_Tool_Learning/"	"DSSC_Tool_Learning/"	"True"	"0"	"0"	"True"
"__MACOSX/._DSSC_Tool_Learning"	"__MACOSX/._DSSC_Tool_Learning"	"False"	"170"	"87"	"True"
"DSSC_Tool_Learning/.DS_Store"	"DSSC_Tool_Learning/.DS_Store"	"False"	"8196"	"1290"	"True"
"__MACOSX/DSSC_Tool_Learning/._.DS_Store"	"__MACOSX/DSSC_Tool_Learning/._.DS_Store"	"False"	"120"	"53"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/"	"True"	"0"	"0"	"True"
"__MACOSX/DSSC_Tool_Learning/._DSSC_Minimal_Energy_Scenario"	"__MACOSX/DSSC_Tool_Learning/._DSSC_Minimal_Energy_Scenario"	"False"	"170"	"87"	"True"
"DSSC_Tool_Learning/DSSC_Toolbox_Scenario.md"	"DSSC_Tool_Learning/DSSC_Toolbox_Scenario.md"	"False"	"5664"	"2525"	"True"
"__MACOSX/DSSC_Tool_Learning/._DSSC_Toolbox_Scenario.md"	"__MACOSX/DSSC_Tool_Learning/._DSSC_Toolbox_Scenario.md"	"False"	"270"	"129"	"True"
"DSSC_Tool_Learning/DSSC_Toolbox_Research_Task_Plan.md"	"DSSC_Tool_Learning/DSSC_Toolbox_Research_Task_Plan.md"	"False"	"16247"	"6586"	"True"
"__MACOSX/DSSC_Tool_Learning/._DSSC_Toolbox_Research_Task_Plan.md"	"__MACOSX/DSSC_Tool_Learning/._DSSC_Toolbox_Research_Task_Plan.md"	"False"	"270"	"129"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/"	"True"	"0"	"0"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._gaia-x"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._gaia-x"	"False"	"170"	"87"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/shapes/"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/shapes/"	"True"	"0"	"0"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._shapes"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._shapes"	"False"	"170"	"87"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/mock-api/"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/mock-api/"	"True"	"0"	"0"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._mock-api"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._mock-api"	"False"	"170"	"87"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/README.md"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/README.md"	"False"	"5434"	"2522"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._README.md"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._README.md"	"False"	"176"	"99"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/VALIDATION_GUIDE.md"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/VALIDATION_GUIDE.md"	"False"	"3270"	"1718"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._VALIDATION_GUIDE.md"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._VALIDATION_GUIDE.md"	"False"	"176"	"99"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/data/"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/data/"	"True"	"0"	"0"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._data"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._data"	"False"	"170"	"87"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/"	"True"	"0"	"0"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._metadata"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/._metadata"	"False"	"170"	"87"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/service-offering.template.jsonld"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/service-offering.template.jsonld"	"False"	"1141"	"509"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/._service-offering.template.jsonld"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/._service-offering.template.jsonld"	"False"	"176"	"99"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/legal-participant.template.jsonld"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/legal-participant.template.jsonld"	"False"	"703"	"349"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/._legal-participant.template.jsonld"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/gaia-x/._legal-participant.template.jsonld"	"False"	"176"	"99"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/shapes/building-energy-shapes.ttl"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/shapes/building-energy-shapes.ttl"	"False"	"2016"	"501"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/shapes/._building-energy-shapes.ttl"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/shapes/._building-energy-shapes.ttl"	"False"	"176"	"99"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/mock-api/openapi.yaml"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/mock-api/openapi.yaml"	"False"	"2953"	"697"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/mock-api/._openapi.yaml"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/mock-api/._openapi.yaml"	"False"	"176"	"99"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/data/building-energy-sample.json"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/data/building-energy-sample.json"	"False"	"894"	"275"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/data/._building-energy-sample.json"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/data/._building-energy-sample.json"	"False"	"176"	"99"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/data-product-valid.jsonld"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/data-product-valid.jsonld"	"False"	"1413"	"540"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/._data-product-valid.jsonld"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/._data-product-valid.jsonld"	"False"	"176"	"99"	"True"
"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/data-product-invalid.jsonld"	"DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/data-product-invalid.jsonld"	"False"	"1264"	"498"	"True"
"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/._data-product-invalid.jsonld"	"__MACOSX/DSSC_Tool_Learning/DSSC_Minimal_Energy_Scenario/metadata/._data-product-invalid.jsonld"	"False"	"176"	"99"	"True"
